Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Calories
12350000,Sour cream dip,1,0.25,cup,133.65
13110100,"Ice cream, regular",1,1.0,cup,267.33
13110120,"Ice cream, rich",1,1.0,cup,368.52
13110200,Soft serve ice cream,1,1.0,cup,347.73
13120100,"Ice cream bar, chocolate covered",1,1.0,bar (bar = 3 fl oz),169.12
13120100,"Ice cream bar, chocolate covered",2,1.0,Klondike Krispy bar,277.84
13120500,Ice cream sandwich,1,1.0,sandwich,143.37
13130300,Light ice cream,1,1.0,cup,216.15
13130600,Light soft serve ice cream,1,1.0,cup,220.5
13135000,Light ice cream sandwich,1,1.0,sandwich,129.6
13140100,Light ice cream bar,1,1.0,bar (bar = 3 fl oz),153.44
13140900,Light fudgesicle,1,1.0,sicle (sicle = 2.5 fl oz),121.91
13150000,Sherbet,1,1.0,cup,277.92
13150000,Sherbet,2,1.0,push up,95.04
13160150,"Low fat, low sugar ice milk",1,1.0,cup,152.64
14104010,"Cheese (cheddar, Swiss)",2,0.25,cup shredded,113.8475
14104010,"Cheese (cheddar, Swiss)",2,1.0,cubic inch,68.51
14104400,Feta or goat cheese,1,0.25,cup crumbled,99.0
14104400,Feta or goat cheese,2,1.0,wedge (wedge=1.3 oz),100.32
14107030,Mozzarella cheese (part skim),1,1.0,slice (slice = 1 oz),85.617
14109030,Low fat cheddar or Swiss,2,0.25,"cup, shredded",48.0
14109030,Low fat cheddar or Swiss,2,1.0,cubic inch,27.0
14201010,"Cottage cheese, creamed",1,0.5,cup,108.15
14201500,Ricotta cheese,1,0.25,cup,95.94
14204010,Lowfat cottage cheese,1,0.5,cup,81.36
14301010,Cream cheese (regular),1,1.0,Tablespoon,50.605
14301010,Cream cheese (regular),2,1.0,"Tablespoon, whipped",34.9
14301010,Cream cheese (regular),2,1.0,individual container,98.9415
14303010,Low fat cream cheese,1,1.0,Tablespoon,34.65
14303010,Low fat cream cheese,2,1.0,"Tablespoon, whipped",23.1
14410200,American cheese (processed),1,1.0,slice (slice = 3/4 oz),70.56
14410200,American cheese (processed),2,0.25,cup shredded,94.92
14410200,American cheese (processed),2,1.0,cubic inch,58.8
14410350,Fat-free American cheese,1,1.0,slice (slice = 3/4 oz),31.08
14410350,Fat-free American cheese,2,0.25,cup shredded,41.81
14410350,Fat-free American cheese,2,1.0,cubic inch,23.976
14420100,Cheese spread or dip,2,1.0,slice Velveeta,100.24333
14420100,Cheese spread or dip,1,4.0,Tablespoons,176.9
14620100,Cream cheese dip,1,2.0,Tablespoons,106.2
14650100,Cheese sauce,1,0.25,cup,109.35
14650150,"Cheese sauce, low fat",1,0.25,cup,79.5825
14650160,Alfredo sauce,1,0.25,cup,249.075
14660200,Fried cheese sticks,1,3.0,"pieces or 4"" sticks",502.92
21101120,Grilled steak (eat lean & fat),1,1.0,medium steak,516.12
21101120,Grilled steak (eat lean & fat),2,1.0,large steak,688.16
21101120,Grilled steak (eat lean & fat),2,1.0,small steak,387.09
21101120,Grilled steak (eat lean & fat),2,4.0,"ounces cooked, no bone",232.76
21101130,Grilled steak (eat lean only),1,1.0,medium steak,307.32
21101130,Grilled steak (eat lean only),2,1.0,large steak,411.73
21101130,Grilled steak (eat lean only),2,1.0,small steak,230.49
21101130,Grilled steak (eat lean only),2,4.0,"ounces cooked, no bone",181.24
21102120,Fried steak (eat lean & fat),1,1.0,medium steak,587.52
21102120,Fried steak (eat lean & fat),2,1.0,large steak,783.36
21102120,Fried steak (eat lean & fat),2,1.0,small steak,440.64
21102120,Fried steak (eat lean & fat),2,4.0,"ounces cooked, no bone",264.96
21102130,Fried steak (eat lean only),1,1.0,medium steak,358.8
21102130,Fried steak (eat lean only),2,1.0,large steak,480.7
21102130,Fried steak (eat lean only),2,1.0,small steak,269.1
21102130,Fried steak (eat lean only),2,4.0,"ounces cooked, no bone",211.6
21103120,Breaded fried steak (eat lean & fat),1,1.0,medium steak,801.9
21103120,Breaded fried steak (eat lean & fat),2,1.0,large steak,1069.2
21103120,Breaded fried steak (eat lean & fat),2,1.0,small steak,600.6
21103120,Breaded fried steak (eat lean & fat),2,4.0,"ounces cooked, no bone",374.22
21103130,Breaded fried steak (eat lean only),1,1.0,medium steak,515.22
21103130,Breaded fried steak (eat lean only),2,1.0,large steak,686.96
21103130,Breaded fried steak (eat lean only),2,1.0,small steak,387.8
21103130,Breaded fried steak (eat lean only),2,4.0,"ounces cooked, no bone",299.16
21304220,BBQ short ribs with sauce,1,1.0,medium rib,107.61
21304220,BBQ short ribs with sauce,2,1.0,large rib,147.7
21304220,BBQ short ribs with sauce,2,1.0,small rib,46.42
21401110,Roast beef (eat lean & fat),1,1.0,medium slice,111.72
21401110,Roast beef (eat lean & fat),2,1.0,thick slice,167.58
21401110,Roast beef (eat lean & fat),2,1.0,thin slice,55.86
21401110,Roast beef (eat lean & fat),2,4.0,ounces after cooking,301.644
21401120,Roast beef (eat lean only),1,1.0,medium slice,82.74
21401120,Roast beef (eat lean only),2,1.0,thick slice,124.11
21401120,Roast beef (eat lean only),2,1.0,thin slice,41.37
21401120,Roast beef (eat lean only),2,4.0,ounces after cooking,223.398
21417120,Beef brisket,1,1.0,"medium slice, 1/4 "" thick",96.6
21417120,Beef brisket,2,1.0,thick slice,144.9
21417120,Beef brisket,2,1.0,thin slice,48.3
21417120,Beef brisket,2,4.0,ounces after cooking,211.6
21501000,"Ground beef (75% lean, regular)",1,1.0,medium patty (4 per pound),234.6
21501000,"Ground beef (75% lean, regular)",2,1.0,ounce after cooking,77.28
21501000,"Ground beef (75% lean, regular)",2,1.0,ounce raw (cooked yield),57.96
21501000,"Ground beef (75% lean, regular)",2,1.0,large patty (3 per pound),311.88
21501000,"Ground beef (75% lean, regular)",2,1.0,medium meatball,77.28
21501000,"Ground beef (75% lean, regular)",2,1.0,small patty (5 per pound),187.68
21501200,Ground beef (80% lean),1,1.0,medium patty (4 per pound),236.72
13160410,Low fat ice cream,1,1.0,cup,228.79
13210250,Diet pudding (instant or canned),1,0.5,cup (4 fl oz),105.3
